Code,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
poznan,-2.1,-1.1,2.1,7.2,12.4,15.9,17.5,16.6,12.8,7.9,2.8,-0.6,7.6
poczdam,-0.7,0.2,3.5,8.4,13.4,16.9,18.5,17.8,14.1,9.1,3.9,0.6,8.8
warszawa,-3.7,-2.6,1,6.9,12.5,15.9,17.5,16.6,12.4,7.3,1.9,-1.9,7
praga,-0.9,0.3,3.8,8.6,13.4,16.8,18.4,17.7,13.9,8.8,3.8,0.4,8.7
wroclaw,-1.7,-0.6,2.7,7.6,12.6,16,17.7,16.8,13.2,8.3,3.3,-0.3,8
krakow,-3,-1.8,2,7.5,12.9,16.3,18,17.2,13.3,8.2,2.6,-1.3,7.6
szczecin,-0.7,0.1,2.9,7.5,12.3,15.6,17.3,16.6,13.2,8.6,3.8,0.7,8.2
sniezka,-7.2,-7,-4.9,-0.9,3.9,7,8.8,8.5,5.4,1.5,-3,-5.9,0.5
wroclaw-2,-1.4,-0.2,3.3,8.6,13.9,17.5,19.3,18.4,14.6,9.3,3.9,0.2,8.9
wroclaw-3,-0.3,0.9,4.3,9.3,14.4,17.9,19.7,18.8,15.1,10.1,4.8,1.2,9.7
poznan-2,-2,-1,2.4,7.9,13.4,17,18.8,17.8,13.8,8.6,3.2,-0.4,8.3
praga-2,0,1.4,4.9,10,15.1,18.6,20.4,19.6,15.6,10.3,4.9,1.4,10.2
szczecin-2,-1.3,-0.5,2.4,7.1,12,15.4,17.1,16.4,12.9,8.2,3.3,0.2,7.8
poznan-3,-1.5,-0.6,2.6,7.5,12.6,16,17.5,16.7,13,8.2,3.3,-0.1,7.9
wroclaw-4,-1,0.2,3.7,9,14.3,17.9,19.8,18.8,15,9.7,4.3,0.6,9.3
warszawa-2,-2.6,-1.5,2.2,8.3,14,17.5,19.2,18.2,13.9,8.6,3.1,-0.8,8.3
krakow-2,-2.2,-0.9,2.9,8.5,14.1,17.6,19.3,18.5,14.5,9.3,3.6,-0.4,8.7
praga-3,-0.5,0.9,4.5,9.6,14.7,18.2,20,19.3,15.2,9.8,4.5,0.9,9.8
poznan-4,-1.2,-0.2,3.1,8.5,13.9,17.6,19.3,18.4,14.4,9.2,3.9,0.3,8.9
wroclaw-5,-0.8,0.3,3.7,8.8,13.9,17.4,19.1,18.2,14.5,9.5,4.3,0.7,9.1
krakow-3,-2.2,-0.9,2.9,8.5,14,17.5,19.3,18.4,14.5,9.3,3.6,-0.4,8.7
szczecin-3,-0.9,-0.1,3,7.8,13,16.4,18.2,17.5,13.9,9,3.9,0.6,8.5
krakow-4,-3.2,-2,1.7,7.1,12.5,15.8,17.5,16.7,12.9,7.9,2.4,-1.5,7.3
warszawa-3,-3.1,-2,1.9,8.4,14.4,18.1,19.9,18.9,14.4,8.7,2.9,-1.2,8.4
