timestamp,value
1455255105000,148480
1455255107000,126976
1455255109000,145408
1455255111000,128000
1455255113000,146432
1455255115000,131072
1455255117000,133120
1455255119000,138240
1455255121000,126976
1455255123000,139264
1455255125000,133120
1455255127000,122880
1455255129000,134144
1455255131000,151552
1455255133000,158720
1455255135000,121856
1455255137000,141312
1455255139000,107520
1455255141000,118784
1455255143000,106496
1455255146000,126976
1455255147000,133120
1455255149000,143360
1455255151000,126976
1455255153000,125952
1455255155000,135168
1455255157000,130048
1455255159000,134144
1455255161000,130048
1455255169000,147712
1455255170000,110592
1455255176000,71338.6666666667
1455255177000,2048
1455255179000,25600
1455255181000,14336
1455255183000,26624
1455255186000,14336
1455255188000,26624
1455255189000,16384
1455255191000,14336
1455255193000,26624
1455255195000,14336
1455255202000,13165.7142857143
1455255203000,2048
1455255205000,3072
1455255207000,12288
1455255209000,10240
1455255216000,11117.7142857143
1455255217000,2048
1455255219000,10240
1455255221000,10240
1455255223000,14336
1455255225000,3072
1455255227000,12288
1455255229000,14336
1455255231000,19456
1455255233000,24576
1455255235000,12288
1455255242000,23990.8571428571
1455255243000,2048
1455255246000,15701.3333333333
1455255247000,20480
1455255249000,21504
1455255252000,25258.6666666667
1455255253000,16384
1455255255000,10240
1455255257000,19456
1455255259000,30720
1455255261000,28672
1455255263000,33792
1455255265000,21504
1455255267000,31744
1455255269000,29696
1455255271000,24576
1455255273000,30720
1455255275000,24576
1455255277000,34816
1455255280000,29354.6666666667
1455255281000,14336
1455255283000,43008
1455255286000,25258.6666666667
1455255287000,14336
1455255289000,46080
1455255292000,37546.6666666667
1455255293000,43008
1455255295000,35840
1455255297000,35840
1455255299000,47104
1455255301000,31744
1455255303000,43008
1455255305000,30720
1455255307000,47104
1455255309000,43008
1455255316000,38619.4285714286
1455255322000,52906.6666666667
1455255323000,2048
1455255325000,49152
1455255327000,36864
1455255329000,65536
1455255331000,35840
1455255333000,52224
1455255335000,45056
1455255337000,48128
1455255339000,60416
1455255341000,33792
1455255343000,56320
1455255345000,52224
1455255347000,24576
1455255349000,81920
1455255352000,46421.3333333333
1455255353000,75776
1455255355000,63488
1455255357000,38912
1455255359000,81920
1455255361000,39936
1455255363000,61440
1455255365000,59392
1455255367000,51200
1455255369000,76800
1455255371000,37888
1455255373000,63488
1455255375000,68608
1455255377000,27648
1455255379000,76800
1455255381000,32768
1455255383000,52224
1455255385000,55296
1455255387000,29696
1455255389000,69632
1455255391000,28672
1455255393000,50176
1455255395000,56320
1455255397000,32768
1455255399000,71680
1455255401000,23552
1455255403000,57344
1455255405000,59392
1455255407000,20480
1455255409000,57344
1455255411000,24576
1455255413000,43008
1455255415000,45056
1455255417000,20480
1455255419000,57344
1455255421000,24576
1455255423000,43008
1455255425000,45056
1455255427000,20480
1455255429000,57344
1455255431000,24576
1455255433000,43008
1455255435000,45056
1455255437000,17408
1455255439000,41984
1455255441000,19456
1455255443000,33792
1455255445000,30720
1455255447000,17408
1455255450000,36181.3333333333
1455255452000,18432
1455255453000,45056
1455255455000,30720
1455255457000,19456
1455255459000,40960
1455255461000,19456
1455255463000,32768
1455255465000,31744
1455255467000,16384
